Language,Level,Question,Option A,Option B,Option C,Option D,Correct Option
Perl,Beginner,How do you import modules in Perl?,include module_name,using module_name,require module_name,import module_name,D
React,Advanced,How does memory management work in React?,It involves allocation and deallocation of memory,It involves printing memory addresses,None of the above,Memory management is handled by users,A
Elixir,Advanced,How does memory management work in Elixir?,Memory management is handled by users,It involves printing memory addresses,None of the above,It involves allocation and deallocation of memory,D
SQL,Advanced,What is garbage collection in SQL?,None of the above,A method for checking memory leaks,Automatic memory management system,A manual process for freeing memory,C
PHP,Advanced,How does memory management work in PHP?,Memory management is handled by users,None of the above,It involves printing memory addresses,It involves allocation and deallocation of memory,D
Groovy,Beginner,What is a list in Groovy?,A way to store numbers,A function for grouping variables,A variable type for text,A data structure that stores ordered elements,D
Dart,Advanced,What are advanced use cases for Dart?,File system management,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,C
PHP,Intermediate,How do you handle errors in PHP?,Error-handling functions,If-else statements,Try-except blocks,None of the above,C
Python,Intermediate,How do you define a class in Python?,class ClassName:,define ClassName(),function ClassName() {},class: ClassName,A
R,Beginner,What is the syntax for a loop in R?,for i = 0; i < 10; i++,loop i in 10,while i < 10:,for i in range(10):,D
PHP,Beginner,What is the syntax for a basic PHP program?,console.log('Hello World'),echo 'Hello World',System.out.println('Hello World'),print('Hello World'),D
Julia,Advanced,What are advanced use cases for Julia?,File system management,Basic website scripting,"High-performance computing, data analysis, AI",None of the above,C
Go,Advanced,Discuss performance optimization techniques in Go.,Use only built-in functions,Write all code in one function,"Optimize algorithms, reduce time complexity",Avoid using any loops,C
MATLAB,Advanced,Discuss performance optimization techniques in MATLAB.,Write all code in one function,Avoid using any loops,Use only built-in functions,"Optimize algorithms, reduce time complexity",D
C++,Beginner,What is a list in C++?,A data structure that stores ordered elements,A function for grouping variables,A way to store numbers,A variable type for text,A
Scala,Beginner,What is a list in Scala?,A way to store numbers,A data structure that stores ordered elements,A function for grouping variables,A variable type for text,B
Java,Beginner,What is a list in Java?,A data structure that stores ordered elements,A function for grouping variables,A way to store numbers,A variable type for text,A
C++,Beginner,What are variables in C++?,Used to store data,Used for user input,Used for function definitions,Used for program flow,A
PHP,Beginner,What does the print function do in PHP?,Writes a value to a file,Returns a value,Displays a value on the screen,Stores data,C
MATLAB,Beginner,What is the syntax for a basic MATLAB program?,System.out.println('Hello World'),echo 'Hello World',print('Hello World'),console.log('Hello World'),C
Kotlin,Beginner,What is a list in Kotlin?,A data structure that stores ordered elements,A way to store numbers,A variable type for text,A function for grouping variables,A
SQL,Intermediate,How do you handle errors in SQL?,Error-handling functions,Try-except blocks,None of the above,If-else statements,B
Python,Beginner,What is the syntax for a basic Python program?,System.out.println('Hello World'),print('Hello World'),console.log('Hello World'),echo 'Hello World',B
Kotlin,Advanced,Discuss performance optimization techniques in Kotlin.,"Optimize algorithms, reduce time complexity",Avoid using any loops,Write all code in one function,Use only built-in functions,A
Dart,Advanced,Explain multithreading or asynchronous operations in Dart.,Executes one task at a time,Handles memory management,None of the above,Allows multiple tasks to run concurrently,D
Ruby,Advanced,How does memory management work in Ruby?,Memory management is handled by users,It involves printing memory addresses,None of the above,It involves allocation and deallocation of memory,D
Rust,Intermediate,Explain the concept of scope in Rust.,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
COBOL,Intermediate,How do you define a class in COBOL?,function ClassName() {},class ClassName:,class: ClassName,define ClassName(),B
Julia,Beginner,What are variables in Julia?,Used for program flow,Used for function definitions,Used for user input,Used to store data,D
MATLAB,Beginner,How do you define a function in MATLAB?,function_name(){},def function_name():,function function_name(){},function_name() = {},B
Kotlin,Advanced,What are advanced use cases for Kotlin?,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,File system management,B
Scala,Beginner,What are variables in Scala?,Used to store data,Used for program flow,Used for user input,Used for function definitions,A
Objective-C,Intermediate,How do you handle errors in Objective-C?,Error-handling functions,Try-except blocks,If-else statements,None of the above,B
React,Intermediate,Explain functions in React.,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,Functions are reusable blocks of code,D
Rust,Beginner,What does the print function do in Rust?,Writes a value to a file,Stores data,Displays a value on the screen,Returns a value,C
C++,Advanced,What are advanced use cases for C++?,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,File system management,B
PHP,Beginner,How do you define a function in PHP?,function_name(){},def function_name():,function_name() = {},function function_name(){},B
Ruby,Beginner,What is the difference between a string and an integer in Ruby?,There is no difference,A string is a sequence of characters,"An integer is a whole number, a string is text","A string is a number, and an integer is text",C
